Time,estimated_positions
19.3825949,[743 498]
19.4272816,[749 498]
19.4716344,[756 493]
19.518129,[762 489]
19.5609911,[767 486]
19.6073328,[771 484]
19.6515279,[787 468]
19.6990342,[790 462]
19.7462071,[793 458]
19.7885527,[795 456]
19.8339536,[795 458]
19.8759072,[795 460]
19.9217346,[794 459]
19.9643233,[794 457]
20.0066949,[789 455]
20.0462886,[784 463]
20.0917646,[778 470]
20.1343347,[770 477]
20.1770265,[762 484]
20.2245827,[754 491]
20.2605024,[747 495]
20.3041942,[741 500]
20.3553077,[733 501]
20.415712,[700 524]
20.4579754,[690 528]
20.497454,[683 531]
20.5415167,[676 531]
20.5774016,[670 533]
20.6229826,[664 533]
20.6666591,[659 533]
20.7088065,[651 533]
20.7547286,[643 533]
20.7957026,[636 534]
20.8408961,[604 534]
20.8820659,[598 534]
20.9293702,[593 533]
20.9713185,[591 533]
21.0151889,[592 533]
21.0594588,[597 534]
21.103754,[602 535]
21.145817,[608 536]
21.1901075,[614 538]
21.2263014,[620 538]
21.265178,[626 539]
21.3109669,[637 538]
21.3532666,[646 538]
21.4003744,[656 538]
21.4443823,[669 538]
21.4903227,[682 537]
21.5371489,[695 536]
21.5833939,[707 534]
21.627147,[716 533]
21.6710944,[730 524]
21.7109104,[732 524]
21.7487907,[734 531]
21.7945264,[735 530]
21.8453587,[737 524]
21.887581,[738 524]
21.9354922,[736 524]
21.9792141,[737 525]
22.0235608,[736 525]
22.0684186,[734 525]
22.1128075,[727 525]
22.1568376,[725 526]
22.1997702,[721 525]
22.2447847,[717 524]
22.2861433,[713 525]
22.3268239,[709 525]
22.3715834,[704 525]
22.4106826,[697 524]
22.4564671,[691 524]
22.4957251,[684 534]
22.5441068,[654 535]
22.5850668,[647 537]
22.6276524,[640 536]
22.6688692,[635 537]
22.7153218,[633 537]
22.759665,[630 537]
22.8059053,[629 538]
22.8463757,[629 538]
22.8905397,[630 538]
22.9298793,[632 538]
22.9786818,[645 539]
23.0233223,[652 539]
23.0626654,[660 538]
23.109333,[668 538]
23.1469072,[677 537]
23.1906021,[685 537]
23.2357595,[693 537]
23.2777147,[701 536]
23.3223924,[708 535]
23.3648018,[714 534]
23.4109993,[725 526]
23.4530686,[725 525]
23.4956737,[725 526]
23.5517649,[723 526]
23.5921224,[720 525]
23.6429423,[717 525]
23.6878683,[715 525]
23.7288804,[712 525]
23.7739887,[703 525]
23.8123041,[701 525]
23.8566157,[700 526]
23.9024408,[701 526]
23.9424786,[701 526]
23.9773189,[702 526]
24.0249364,[704 526]
24.0640095,[706 526]
24.1089174,[709 526]
24.1529139,[711 526]
24.194039,[711 526]
24.2369737,[716 526]
24.2885408,[716 526]
24.3441675,[717 526]
24.3844823,[717 526]
24.4267683,[717 526]
24.4720892,[717 526]
24.5176012,[716 526]
24.5620697,[716 526]
24.6040776,[715 526]
24.6457133,[715 526]
24.6895866,[715 526]
24.7313459,[715 526]
24.7739306,[716 526]
24.8112779,[716 526]
24.8560035,[716 526]
24.895139,[716 526]
24.9380893,[715 526]
24.9830502,[715 526]
25.0246235,[715 526]
25.063956,[715 526]
25.1085293,[715 526]
25.1447881,[716 526]
25.1878403,[716 526]
25.2261564,[715 526]
25.270598,[716 526]
25.3159253,[716 526]
25.3556784,[715 526]
25.3957532,[715 526]
25.4459404,[715 526]
25.4868447,[715 526]
25.5336379,[715 526]
25.5772881,[716 526]
25.6225882,[716 526]
25.6604205,[715 526]
25.7092345,[716 526]
25.74536,[716 526]
25.7888506,[715 526]
25.8341961,[715 526]
25.8763701,[716 526]
25.9212965,[715 526]
25.9617858,[716 526]
26.0060043,[716 526]
26.0427347,[716 526]
26.0838225,[716 526]
26.1266578,[716 526]
26.171661,[716 526]
26.2098447,[716 526]
26.2528208,[716 526]
26.2941173,[716 526]
26.3385332,[716 526]
26.3792782,[716 526]
26.4252912,[716 526]
26.4779522,[715 526]
26.5186335,[716 526]
26.5587511,[716 526]
26.6047533,[716 526]
26.6452215,[716 526]
26.6896455,[716 526]
26.7320561,[716 526]
26.7728468,[716 526]
26.8111875,[716 526]
26.8543739,[716 526]
26.8921986,[716 526]
26.9369312,[716 526]
26.9852267,[716 526]
27.0273493,[716 526]
27.0719146,[716 526]
27.1153839,[716 526]
27.161356,[716 526]
27.2054982,[716 526]
27.243658,[716 526]
27.2833202,[716 526]
27.3227652,[716 526]
