Time,pixels_from_encoder,pixels_from_cv2
8.2692081,[[[641 537]]],"(721, 525)"
8.3086574,[[[637 537]]],"(721, 525)"
8.3468899,[[[625 537]]],"(721, 525)"
8.3907456,[[[617 536]]],"(721, 525)"
8.4302149,[[[612 536]]],"(721, 525)"
8.4802587,[[[605 536]]],"(721, 525)"
8.5265831,[[[592 535]]],"(718, 525)"
8.5622771,[[[584 534]]],"(715, 525)"
8.6065383,[[[577 533]]],"(712, 526)"
8.6518339,[[[572 533]]],"(711, 526)"
8.6954455,[[[565 532]]],"(709, 526)"
8.7408895,[[[563 532]]],"(705, 534)"
8.7824103,[[[558 531]]],"(695, 483)"
8.8250026,[[[541 529]]],"(694, 473)"
8.8641601,[[[518 524]]],"(693, 463)"
8.9114735,[[[506 522]]],"(692, 460)"
8.9466339,[[[509 523]]],"(692, 455)"
8.9898479,[[[503 522]]],"(691, 448)"
9.0359871,[[[499 521]]],"(670, 622)"
9.086163,[[[501 521]]],"(658, 619)"
9.1295799,[[[497 520]]],"(651, 616)"
9.1783673,[[[493 518]]],"(653, 614)"
9.2222372,[[[491 516]]],"(651, 610)"
9.2626341,[[[487 514]]],"(650, 610)"
9.31063,[[[482 512]]],"(646, 609)"
9.3476077,[[[477 510]]],"(643, 608)"
9.3958458,[[[469 505]]],"(640, 606)"
9.4437453,[[[463 500]]],"(637, 605)"
9.4804843,[[[456 495]]],"(634, 604)"
9.5234414,[[[449 490]]],"(632, 603)"
9.5635232,[[[441 484]]],"(629, 602)"
9.6125507,[[[434 477]]],"(607, 592)"
9.6517273,[[[427 471]]],"(602, 589)"
9.6952359,[[[421 464]]],"(597, 585)"
9.742765,[[[414 458]]],"(591, 582)"
9.7800485,[[[409 449]]],"(586, 577)"
9.8280568,[[[404 443]]],"(582, 572)"
9.8696393,[[[399 438]]],"(576, 566)"
9.9112122,[[[394 430]]],"(571, 561)"
9.9541075,[[[391 426]]],"(567, 557)"
9.9971954,[[[386 420]]],"(563, 551)"
10.0429421,[[[381 414]]],"(546, 527)"
10.0861416,[[[378 410]]],"(542, 522)"
10.1258543,[[[375 405]]],"(540, 518)"
10.1632949,[[[373 402]]],"(537, 513)"
10.2119205,[[[372 401]]],"(534, 509)"
10.2545151,[[[370 398]]],"(531, 505)"
10.296698,[[[369 398]]],"(529, 502)"
10.3426456,[[[368 398]]],"(526, 497)"
10.3809755,[[[367 399]]],"(525, 494)"
10.4253585,[[[366 400]]],"(524, 494)"
10.4711513,[[[364 401]]],"(524, 492)"
10.5135157,[[[365 403]]],"(523, 492)"
10.5577826,[[[363 405]]],"(522, 493)"
10.6059285,[[[365 409]]],"(523, 494)"
10.6460909,[[[367 415]]],"(523, 495)"
10.6892548,[[[369 421]]],"(524, 497)"
10.7318866,[[[372 429]]],"(523, 500)"
10.7797384,[[[377 438]]],"(525, 503)"
10.8241702,[[[384 450]]],"(526, 507)"
10.8658341,[[[385 457]]],"(527, 511)"
10.9101922,[[[385 465]]],"(542, 537)"
10.9491961,[[[383 474]]],"(545, 544)"
10.9933544,[[[385 483]]],"(553, 554)"
11.0294508,[[[401 492]]],"(558, 562)"
11.0733678,[[[411 493]]],"(562, 570)"
11.1125156,[[[415 493]]],"(568, 578)"
11.1568778,[[[410 494]]],"(574, 587)"
11.1971009,[[[396 490]]],"(585, 592)"
11.2469018,[[[382 483]]],"(605, 584)"
11.2905258,[[[388 486]]],"(619, 596)"
11.3339846,[[[402 493]]],"(628, 596)"
11.3781268,[[[413 495]]],"(601, 595)"
11.4223727,[[[412 494]]],"(592, 594)"
11.4643584,[[[403 492]]],"(598, 595)"
11.5401231,[[[388 487]]],"(607, 596)"
11.5853,[[[387 486]]],"(616, 597)"
11.6293483,[[[398 491]]],"(624, 596)"
11.6815593,[[[419 498]]],"(603, 598)"
11.7330197,[[[441 504]]],"(597, 599)"
11.7779511,[[[451 507]]],"(598, 600)"
11.8226844,[[[459 510]]],"(605, 600)"
11.868514,[[[464 511]]],"(614, 600)"
11.9156892,[[[473 513]]],"(624, 603)"
11.9704815,[[[485 512]]],"(634, 605)"
12.0129357,[[[494 511]]],"(646, 606)"
12.0553278,[[[504 513]]],"(649, 606)"
12.0959268,[[[513 514]]],"(655, 606)"
12.1399646,[[[519 513]]],"(634, 434)"
12.1792189,[[[527 511]]],"(632, 433)"
12.2248833,[[[538 511]]],"(630, 432)"
12.2653258,[[[547 510]]],"(632, 432)"
12.3072171,[[[557 510]]],"(635, 430)"
12.3521381,[[[566 508]]],"(636, 430)"
12.3917537,[[[573 504]]],"(636, 429)"
12.428989,[[[580 500]]],"(634, 429)"
12.4740128,[[[584 495]]],"(641, 426)"
12.5156781,[[[588 489]]],"(642, 426)"
12.5578889,[[[594 483]]],"(1270, 397)"
12.6097558,[[[601 475]]],"(641, 423)"
12.6616023,[[[607 467]]],"(636, 421)"
12.7008824,[[[609 461]]],"(634, 420)"
12.7445388,[[[613 452]]],"(632, 418)"
12.7892946,[[[615 444]]],"(632, 417)"
12.8283255,[[[616 435]]],"(631, 414)"
12.877218,[[[615 428]]],"(627, 407)"
12.9239559,[[[615 421]]],"(626, 405)"
