Time,pixels_from_encoder,pixels_from_cv2
10.8887661,[[[768 522]]],"(630, 538)"
10.9313945,[[[745 521]]],"(626, 539)"
10.9754233,[[[734 519]]],"(627, 538)"
11.0167183,[[[736 518]]],"(637, 538)"
11.0596031,[[[731 517]]],"(643, 539)"
11.1022378,[[[713 515]]],"(639, 538)"
11.1457401,[[[697 512]]],"(622, 534)"
11.1913122,[[[680 510]]],"(616, 531)"
11.2313173,[[[661 508]]],"(607, 528)"
11.2756653,[[[639 501]]],"(599, 525)"
11.3176683,[[[619 493]]],"(594, 522)"
11.3596832,[[[597 485]]],"(586, 519)"
11.4016754,[[[571 469]]],"(577, 514)"
11.4448523,[[[542 438]]],"(570, 504)"
11.4909429,[[[530 401]]],"(558, 496)"
11.53226,[[[530 377]]],"(547, 489)"
11.5747863,[[[525 373]]],"(559, 456)"
11.6183028,[[[511 385]]],"(517, 386)"
11.6626529,[[[500 400]]],"(539, 373)"
11.7098131,[[[490 410]]],"(478, 356)"
11.7519258,[[[481 411]]],"(497, 367)"
11.7938529,[[[473 404]]],"(504, 380)"
11.8361683,[[[467 390]]],"(468, 394)"
11.8790639,[[[461 379]]],"(468, 407)"
11.9216433,[[[453 371]]],"(467, 415)"
11.9642137,[[[441 367]]],"(465, 415)"
12.0094992,[[[426 362]]],"(463, 410)"
12.053294,[[[412 357]]],"(453, 384)"
12.0960375,[[[398 350]]],"(451, 383)"
12.1411634,[[[384 342]]],"(449, 385)"
12.1833071,[[[370 334]]],"(448, 386)"
12.2254619,[[[357 323]]],"(447, 387)"
12.2674881,[[[345 314]]],"(447, 387)"
12.310676,[[[336 308]]],"(448, 387)"
12.3534593,[[[330 306]]],"(449, 387)"
12.393583,[[[328 307]]],"(453, 386)"
12.4364201,[[[328 314]]],"(455, 385)"
12.4799743,[[[333 326]]],"(462, 384)"
12.525054,[[[345 334]]],"(469, 385)"
12.5665032,[[[360 345]]],"(450, 392)"
12.6101383,[[[378 359]]],"(457, 394)"
12.6545855,[[[399 375]]],"(450, 399)"
12.6987725,[[[419 391]]],"(450, 398)"
12.748139,[[[443 410]]],"(446, 401)"
12.7977128,[[[468 434]]],"(447, 402)"
12.8470773,[[[494 451]]],"(448, 405)"
12.8918072,[[[516 461]]],"(462, 434)"
12.935658,[[[536 468]]],"(470, 440)"
12.9796254,[[[554 473]]],"(478, 451)"
13.0269664,[[[575 481]]],"(485, 456)"
13.0672916,[[[594 487]]],"(493, 463)"
13.1134983,[[[613 493]]],"(499, 467)"
13.1588932,[[[637 500]]],"(506, 470)"
13.2015279,[[[661 507]]],"(514, 475)"
13.2482761,[[[690 513]]],"(552, 497)"
13.29381,[[[722 517]]],"(565, 502)"
13.3373101,[[[754 518]]],"(576, 513)"
13.3775993,[[[779 517]]],"(586, 520)"
13.4174419,[[[799 515]]],"(599, 522)"
13.4620299,[[[818 512]]],"(615, 526)"
13.5074986,[[[831 509]]],"(630, 529)"
13.550531,[[[835 509]]],"(644, 530)"
13.5928146,[[[839 508]]],"(655, 531)"
13.6335601,[[[844 506]]],"(662, 533)"
13.675616,[[[852 505]]],"(668, 531)"
13.7185674,[[[861 503]]],"(677, 535)"
13.7623322,[[[870 500]]],"(679, 534)"
13.8089516,[[[880 496]]],"(683, 533)"
13.8527203,[[[885 494]]],"(687, 533)"
13.8963136,[[[890 492]]],"(690, 534)"
13.9475381,[[[882 495]]],"(694, 531)"
13.9921873,[[[855 504]]],"(696, 533)"
14.0335808,[[[825 513]]],"(699, 533)"
14.0791509,[[[781 524]]],"(695, 533)"
14.1229052,[[[750 529]]],"(685, 534)"
14.163903,[[[742 530]]],"(674, 537)"
14.2075377,[[[756 528]]],"(658, 538)"
14.2485099,[[[780 523]]],"(643, 534)"
14.2912862,[[[813 514]]],"(634, 537)"
14.3322791,[[[838 506]]],"(631, 536)"
14.3751621,[[[858 498]]],"(636, 536)"
14.4200341,[[[872 493]]],"(643, 537)"
14.4623208,[[[887 488]]],"(655, 536)"
14.5101352,[[[912 476]]],"(668, 534)"
14.5519692,[[[942 459]]],"(697, 530)"
14.5941424,[[[974 438]]],"(702, 528)"
14.6427048,[[[1004  414]]],"(710, 526)"
14.6840379,[[[1024  399]]],"(720, 522)"
14.7324008,[[[1046  380]]],"(733, 516)"
14.7842952,[[[1071  352]]],"(744, 511)"
14.8340918,[[[1095  316]]],"(753, 506)"
14.8801215,[[[1110  283]]],"(778, 488)"
14.9251998,[[[1118  254]]],"(781, 478)"
14.9682793,[[[1121  234]]],"(781, 461)"
15.0117753,[[[1123  225]]],"(788, 453)"
15.0579302,[[[1130  223]]],"(803, 453)"
15.1008999,[[[1133  222]]],"(811, 447)"
15.146146,[[[1130  212]]],"(816, 441)"
15.1908019,[[[1124  201]]],"(817, 436)"
15.233655,[[[1121  194]]],"(817, 436)"
15.2789948,[[[1120  193]]],"(821, 431)"
15.323474,[[[1117  190]]],"(823, 424)"
15.365309,[[[1113  183]]],"(822, 422)"
15.4126908,[[[1107  179]]],"(823, 419)"
15.4581828,[[[1103  178]]],"(823, 418)"
15.5010475,[[[1097  180]]],"(823, 418)"
15.5440364,[[[1088  182]]],"(824, 410)"
15.5875009,[[[1080  181]]],"(824, 407)"
15.6273072,[[[1074  182]]],"(823, 404)"
15.6732694,[[[1067  182]]],"(817, 401)"
15.7177043,[[[1059  185]]],"(807, 387)"
15.760065,[[[1049  189]]],"(806, 386)"
15.8094287,[[[1039  193]]],"(800, 383)"
